"created_at","screen_name","text"
2021-08-06 16:17:07,"karpuutt","Pengen beli semua buku cpns keder bgt gua ama mtk"
2021-08-06 16:16:23,"Gabriel18397098","dalam nama Tuhan Yesus, saya lulus cpns tahun 2021 . 
Gabriella, SKM 
19950408 202101 02 001
Amin"
2021-08-06 16:15:02,"Oddeye123","@tvindonesiawkwk Cocok nih jadi contoh soal CPNS 
Sebagai Ketua KPAI jika ada yg melapor acara olahraga berbikini apa yang anda lakukan?"
2021-08-06 16:15:00,"jembermfs","Guys, mau tanya. Ini jadwal SKD cpns tgl 25 Agustus - 4 Oktober kan ya. Trs maksudnya ini jadwal pastinya kapan ya? Soalnya ada acara tgl segituan takutnya bentrok. Terimakasih yg udah bantu jawab <U+0001F64F>
/jbrfess/"
2021-08-06 16:12:09,"YolandaFlorens1","@MycuddleSpa Hai kak semoga kakak sehat selalu dan rezeki berlimpah <U+0001F64F>

Aku berharap bisa lulus CPNS dan membanggakan orangtua <U+0001F64F>
Semoga rezeki anak saya menang GiveAway <U+0001F64F> pengen beli baju anak untuk ulangtahun pertamanya <U+0001F64F> https://t.co/saeYwHsruP"
2021-08-06 16:11:43,"silvialucyana","@womanhourly ikut cpns pasti ni"
2021-08-06 16:11:31,"Fazlyaaaa","Mah pah maafin anakmu yg blum bisa lolos tes CPNS thn ini doain thn dpn mudah²an lolos ya<U+0001F62D><U+0001F62D> https://t.co/GzXcz2NS3i"
2021-08-06 16:07:05,"avlnchee","jelas"" messi lagi fokus cpns"
2021-08-06 16:03:53,"happy01767951","@BKNgoid apakah bisa merubah Lokasi Test Ujian? KTP dan alamat rumah saya berada di Malang, saya sudah mengisi lokasi Test saya di Surabaya (terdekat dengan rumah saya) tp sy skrg sedang bekerja di Jakarta. Apakah bisa merubah Lokasi Tes CPNS jika Kartu Pendaftaran sudah terbit?"
2021-08-06 16:04:54,"happy01767951","@bkdjatim apakah bisa merubah Lokasi Test Ujian? KTP dan alamat rumah saya berada di Malang, saya sudah mengisi lokasi Test saya di Surabaya (terdekat dengan rumah saya), tp sy skrg sedang bekerja di Jakarta. Apa bisa merubah Lokasi Tes CPNS jika Kartu Pendaftaran sudah terbit?"
2021-08-06 16:03:52,"231Xi","@weirdobang Kirain daftar cpns"
2021-08-06 16:01:47,"CorleoneJeffri","2. Apabila memang diwajibkan melampirkan SK Domisili bagi peserta beda provinsi dengan KTP, maka hendaknya informasi tsb DIINFORMASIKAN secara JELAS &amp; EKSPLISIT dalam Surat Pengumuman CPNS Kemenkumham 2021 yang ditandatangani oleh ketua panitia seleksi. @Kemenkumham_RI @BKNgoid"
2021-08-06 16:00:24,"bisabacagak","@kambing_329 @soshimenfess @soshimenfess mau nyaingin cpns bjir"
2021-08-06 15:58:18,"alfiliaazani","Temen gw status wassafnya sibuk menggadang gadangkan kepemerintahan Kaffah, tapi daftar cpns :( https://t.co/DaApVmE4tZ"
2021-08-06 15:56:36,"yydlaner","@bocil67400850 nga dulu rip <U+0001F64F> mo bedah buku tes cpns"
2021-08-06 15:51:51,"algialbagonk","Handak daftar jadi CPNS, tapi teingat waktu selawas jadi mahasiswa rancak umpat demo anti pemerintah :("
2021-08-06 15:50:09,"MediaAcehOnline","CPNS 2021, BKN Beberkan Penyebab Banyak Peserta Gagal di Seleksi Administrasi https://t.co/X9uJX8WnLc"
